"doi","date","times.cited"
"10.1128/JB.01338-09","2010-03",17
"10.1128/IAI.00645-09","2010-04",28
"10.1128/IAI.00669-09","2010-04",3
"10.1128/MCB.00540-09","2010-04",58
"10.1128/IAI.00743-09","2010-04",57
"10.1128/IAI.00867-09","2010-03",12
"10.1128/MCB.00696-09","2010-04",43
"10.1128/MCB.00872-09","2010-04",15
"10.1128/IAI.00925-09","2010-03",57
"10.1128/MCB.01105-09","2010-04",15
"10.1128/IAI.00943-09","2010-03",21
"10.1128/IAI.00981-09","2010-04",28
"10.1128/IAI.01014-09","2010-03",20
"10.1128/MCB.01281-09","2010-03",50
"10.1128/MCB.01305-09","2010-03",32
"10.1128/IAI.01021-09","2010-04",31
"10.1128/MCB.01307-09","2010-04",19
"10.1128/IAI.01122-09","2010-03",19
"10.1128/MCB.01321-09","2010-03",11
"10.1128/MCB.01335-09","2010-03",33
"10.1128/AAC.00575-09","2010-04",30
"10.1128/MCB.01373-09","2010-03",47
"10.1128/AAC.00743-09","2010-04",18
"10.1128/AAC.00754-09","2010-04",9
"10.1128/AAC.01015-09","2010-03",31
"10.1128/AAC.01077-09","2010-03",12
"10.1128/AAC.01111-09","2010-04",17
"10.1128/AAC.01158-09","2010-04",36
"10.1128/AAC.01218-09","2010-03",34
"10.1128/AAC.01172-09","2010-04",4
"10.1128/AAC.01226-09","2010-03",9
"10.1128/AAC.01279-09","2010-04",19
"10.1128/AAC.01307-09","2010-04",45
"10.1128/AAC.01312-09","2010-03",153
"10.1128/AAC.01438-09","2010-04",10
"10.1128/AAC.01443-09","2010-04",4
"10.1128/AAC.01446-09","2010-03",73
"10.1128/AAC.01448-09","2010-03",46
"10.1128/AAC.01471-09","2010-04",42
"10.1128/AAC.01474-09","2010-04",69
"10.1128/AAC.01489-09","2010-04",0
"10.1128/AAC.01645-09","2010-04",61
"10.1128/AAC.01655-09","2010-04",31
"10.1128/AAC.01676-09","2010-04",51
"10.1128/JVI.01776-09","2010-04",26
"10.1128/JVI.01400-09","2010-04",32
"10.1128/JVI.01019-09","2010-04",131
"10.1128/JVI.01735-09","2010-04",18
"10.1128/JVI.01879-09","2010-04",46
"10.1128/JVI.01340-09","2010-04",35
"10.1128/JVI.01572-09","2010-04",15
"10.1128/JVI.01975-09","2010-04",4
"10.1128/JVI.02131-09","2010-04",16
"10.1128/JVI.02242-09","2010-04",13
"10.1128/JVI.02332-09","2010-04",11
"10.1128/JVI.02017-09","2010-04",17
"10.1128/JVI.02155-09","2010-04",26
"10.1128/JVI.02028-09","2010-04",24
"10.1128/JVI.02164-09","2010-04",43
"10.1128/JVI.02255-09","2010-04",35
"10.1128/JVI.02387-09","2010-04",29
"10.1128/JVI.02363-09","2010-04",39
"10.1128/JVI.02391-09","2010-04",17
"10.1128/JVI.02557-09","2010-04",41
"10.1128/JVI.02497-09","2010-04",55
"10.1128/JVI.02555-09","2010-04",37
"10.1128/JVI.02587-09","2010-04",52
"10.1128/JVI.02590-09","2010-04",29
"10.1128/JCM.00010-10","2010-03",14
"10.1128/JCM.01949-09","2010-03",24
"10.1128/JCM.01654-09","2010-03",19
"10.1128/IAI.01408-09","2010-02",0
"10.1128/EC.00309-09","2010-03",46
"10.1128/EC.00285-09","2010-03",8
"10.1128/EC.00324-09","2010-03",12
"10.1128/EC.00325-09","2010-04",29
"10.1128/EC.00378-09","2010-03",16
"10.1128/AEM.01724-09","2010-03",17
"10.1128/AEM.01753-09","2010-03",18
"10.1128/AEM.01917-09","2010-03",11
"10.1128/AEM.02093-09","2010-03",30
"10.1128/AEM.02240-09","2010-03",43
"10.1128/AEM.02295-09","2010-03",18
"10.1128/AEM.02321-09","2010-03",21
"10.1128/AEM.02397-09","2010-03",69
"10.1128/AEM.02432-09","2010-03",38
"10.1128/AEM.02440-09","2010-03",37
"10.1128/AEM.02626-09","2010-04",15
"10.1128/AEM.02443-09","2010-03",23
"10.1128/AEM.02625-09","2010-03",13
"10.1128/AEM.02670-09","2010-03",64
"10.1128/AEM.02680-09","2010-03",26
"10.1128/AEM.02746-09","2010-03",33
"10.1128/AEM.02752-09","2010-03",9
